Date;Temp;Plus
16.02.2023;14;0
17.02.2023;14,5;0
18.02.2023;13,75;0
19.02.2023;15,5;0
20.02.2023;14,5;0
21.02.2023;13;0
22.02.2023;12,5;0
23.02.2023;9,25;0
24.02.2023;7,75;0
25.02.2023;8,25;0
26.02.2023;10,75;0
27.02.2023;9,5;0
28.02.2023;8,75;0
01.03.2023;7,75;0
02.03.2023;8,5;0
03.03.2023;9,25;0
04.03.2023;10,5;0
05.03.2023;10,25;0
06.03.2023;12;0
07.03.2023;13,5;0
08.03.2023;14,25;0
09.03.2023;14;0
10.03.2023;14;0
11.03.2023;14,75;0
12.03.2023;14,75;0
13.03.2023;13,5;0
14.03.2023;13;0
15.03.2023;13;0
16.03.2023;13,5;0
17.03.2023;13;0
18.03.2023;12,75;0
19.03.2023;12,5;0
20.03.2023;13,5;0
21.03.2023;13,75;0
22.03.2023;12,75;0
23.03.2023;13,5;0
24.03.2023;14,25;0
25.03.2023;12,75;0
26.03.2023;13,25;0
27.03.2023;13,5;0
28.03.2023;16;0
29.03.2023;16,5;0
30.03.2023;15;0
31.03.2023;15,25;0
01.04.2023;13,25;0
02.04.2023;12,75;0
03.04.2023;14,25;0
04.04.2023;17,25;0
05.04.2023;16,25;0
06.04.2023;17,5;0
07.04.2023;17,5;0
08.04.2023;17,25;0
09.04.2023;15,75;0
10.04.2023;14,75;0
11.04.2023;14,75;0
12.04.2023;13;0
13.04.2023;13;0
14.04.2023;13,75;0
15.04.2023;14,5;0
16.04.2023;17,25;0
17.04.2023;19,5;0
18.04.2023;19,25;0
19.04.2023;17;0
20.04.2023;14,75;0
21.04.2023;13;0
22.04.2023;14;0
23.04.2023;15,25;0
24.04.2023;16,5;0
25.04.2023;17;0
26.04.2023;17,5;0
27.04.2023;19;0
28.04.2023;17,5;0
29.04.2023;17,75;0
30.04.2023;17,5;0
01.05.2023;17,25;0
02.05.2023;20;0
03.05.2023;18,5;0
04.05.2023;16,25;0
05.05.2023;16,25;0
