date;Charging Station;Duration (min);Total Energy (kWh);Nº cartão EVIO;Plus;Temp
2023-03-06;CAP_SON_MAI_00004;189.533;10.43;35;0.07500000000000001;12.0
2023-03-06;CAP_SON_MAI_00004;0.15;0.0;30;0.07500000000000001;12.0
2023-03-06;CAP_SON_MAI_00004;0.3;0.01;30;0.07500000000000001;12.0
2023-03-06;CAP_SON_MAI_00004;0.133;0.0;30;0.07500000000000001;12.0
2023-03-06;CAP_SON_MAI_00004;0.283;0.01;30;0.07500000000000001;12.0
2023-03-06;CAP_SON_MAI_00004;0.15;0.0;30;0.07500000000000001;12.0
2023-03-06;CAP_SON_MAI_00004;0.217;0.01;30;0.07500000000000001;12.0
2023-03-06;CAP_SON_MAI_00004;0.15;0.0;30;0.07500000000000001;12.0
2023-03-06;CAP_SON_MAI_00004;0.3;0.0;30;0.07500000000000001;12.0
2023-03-07;CAP_SON_MAI_00004;71.733;8.2;46;0.025;13.5
2023-03-07;CAP_SON_MAI_00010;308.7;11.91;76;0.025;13.5
2023-03-07;CAP_SON_MAI_00001;631.8;12.05;87;0.025;13.5
2023-03-07;CAP_SON_MAI_00004;171.6;9.66;4;0.025;13.5
2023-03-08;CAP_SON_MAI_00004;190.867;32.8;144;0.15;14.25
2023-03-08;CAP_SON_MAI_00002;47.533;35.95;29;0.15;14.25
2023-03-08;CAP_SON_MAI_00004;0.15;0.0;29;0.15;14.25
2023-03-08;CAP_SON_MAI_00001;588.933;12.61;55;0.15;14.25
2023-03-08;CAP_SON_MAI_00004;183.567;10.4;35;0.15;14.25
2023-03-08;CAP_SON_MAI_00004;0.867;0.04;29;0.15;14.25
2023-03-09;CAP_SON_MAI_00004;1.8;0.1;29;0.2;14.0
2023-03-09;CAP_SON_MAI_00002;10.533;15.83;29;0.2;14.0
2023-03-09;CAP_SON_MAI_00004;153.083;26.52;29;0.2;14.0
2023-03-09;CAP_SON_MAI_00001;213.8;4.37;55;0.2;14.0
2023-03-09;CAP_SON_MAI_00004;179.75;10.34;35;0.2;14.0
