Start date,Stop date,Duration (min),Total Energy (kWh),Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Last
2022-12-16 08:27:00,2022-12-16 12:18:00,"230,083",41.08,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,44.59
2022-12-14 08:18:00,2022-12-14 11:12:00,"173,15",5.61,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41.08
2022-12-13 13:26:00,2022-12-13 19:57:00,"390,967",35.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,5.61
2022-12-13 11:14:00,2022-12-13 12:07:00,"52,617",6.05,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,35.16
2022-12-13 08:47:00,2022-12-13 10:07:00,"80,65",9.05,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05
2022-12-06 17:27:00,2022-12-06 17:45:00,"18,417",5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.05
2022-12-06 09:23:00,2022-12-06 10:19:00,"56,45",48.11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96
2022-11-30 08:51:00,2022-11-30 18:49:00,"598,733",49.44,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,48.11
2022-11-24 16:03:00,2022-11-24 19:04:00,"181,833",31.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,49.44
2022-11-24 08:15:00,2022-11-24 08:38:00,"22,9",37.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.04
