,Date,Total Energy (kWh)
144,2022-10-29,0.0
145,2022-10-30,0.0
146,2022-10-31,0.0
147,2022-11-01,0.0
148,2022-11-02,42.05
149,2022-11-03,0.0
150,2022-11-04,20.49
151,2022-11-05,0.0
152,2022-11-06,0.0
153,2022-11-07,0.0
154,2022-11-08,0.0
155,2022-11-09,0.0
156,2022-11-10,21.77
157,2022-11-11,0.0
158,2022-11-12,0.0
159,2022-11-13,0.0
160,2022-11-14,45.04
161,2022-11-15,7.13
162,2022-11-16,0.0
163,2022-11-17,0.0
164,2022-11-18,38.57
165,2022-11-19,0.0
166,2022-11-20,0.0
167,2022-11-21,44.19
168,2022-11-22,21.25
169,2022-11-23,0.0
170,2022-11-24,68.65
171,2022-11-25,0.0
172,2022-11-26,0.0
173,2022-11-27,0.0
174,2022-11-28,0.0
175,2022-11-29,0.0
176,2022-11-30,49.44
177,2022-12-01,0.0
178,2022-12-02,0.0
179,2022-12-03,0.0
180,2022-12-04,0.0
181,2022-12-05,0.0
182,2022-12-06,54.07
183,2022-12-07,0.0
184,2022-12-08,0.0
185,2022-12-09,0.0
186,2022-12-10,0.0
187,2022-12-11,0.0
188,2022-12-12,0.0
189,2022-12-13,50.26
190,2022-12-14,5.61
191,2022-12-15,0.0
192,2022-12-16,41.08
193,2022-12-17,0.0
194,2022-12-18,0.0
195,2022-12-19,44.59
196,2022-12-20,0.0
197,2022-12-21,49.82
198,2022-12-22,0.0
199,2022-12-23,0.0
200,2022-12-24,0.0
201,2022-12-25,0.0
202,2022-12-26,0.0
203,2022-12-27,63.55
204,2022-12-28,0.0
205,2022-12-29,0.0
206,2022-12-30,0.0
207,2022-12-31,0.0
208,2023-01-01,0.0
209,2023-01-02,0.0
210,2023-01-03,46.44
211,2023-01-04,14.62
212,2023-01-05,0.0
213,2023-01-06,24.12
214,2023-01-07,0.0
215,2023-01-08,0.0
216,2023-01-09,27.56
217,2023-01-10,32.55
218,2023-01-11,42.08
219,2023-01-12,0.0
220,2023-01-13,6.63
221,2023-01-14,0.0
222,2023-01-15,0.0
223,2023-01-16,0.0
224,2023-01-17,0.0
225,2023-01-18,0.0
226,2023-01-19,0.0
227,2023-01-20,0.0
228,2023-01-21,0.0
229,2023-01-22,0.0
230,2023-01-23,0.0
231,2023-01-24,55.51
232,2023-01-25,0.0
233,2023-01-26,0.0
234,2023-01-27,0.0
235,2023-01-28,0.0
236,2023-01-29,0.0
237,2023-01-30,31.92
238,2023-01-31,0.0
239,2023-02-01,41.48
240,2023-02-02,0.0
241,2023-02-03,23.82
242,2023-02-04,0.0
243,2023-02-05,0.0
244,2023-02-06,0.0
245,2023-02-07,0.0
246,2023-02-08,0.0
247,2023-02-09,0.0
248,2023-02-10,0.0
249,2023-02-11,0.0
250,2023-02-12,0.0
251,2023-02-13,46.69
252,2023-02-14,10.811
253,2023-02-15,42.31
254,2023-02-16,0.0
255,2023-02-17,0.0
256,2023-02-18,0.0
257,2023-02-19,0.0
258,2023-02-20,0.0
259,2023-02-21,0.0
260,2023-02-22,0.0
261,2023-02-23,0.0
262,2023-02-24,0.0
263,2023-02-25,0.0
264,2023-02-26,0.0
265,2023-02-27,0.0
266,2023-02-28,48.04
267,2023-03-01,0.0
268,2023-03-02,0.0
269,2023-03-03,0.0
270,2023-03-04,0.0
271,2023-03-05,0.0
272,2023-03-06,0.0
273,2023-03-07,0.0
274,2023-03-08,35.99
275,2023-03-09,77.41
276,2023-03-10,0.0
277,2023-03-11,0.0
278,2023-03-12,0.0
279,2023-03-13,0.0
280,2023-03-14,7.85
281,2023-03-15,23.8
282,2023-03-16,0.0
283,2023-03-17,43.61
284,2023-03-18,0.0
285,2023-03-19,0.0
286,2023-03-20,53.85
287,2023-03-21,0.0
288,2023-03-22,0.0
289,2023-03-23,0.0
290,2023-03-24,0.0
291,2023-03-25,48.28
292,2023-03-26,0.0
293,2023-03-27,21.42
294,2023-03-28,0.0
295,2023-03-29,54.07
296,2023-03-30,0.0
297,2023-03-31,0.0
298,2023-04-01,0.0
299,2023-04-02,0.0
300,2023-04-03,0.0
301,2023-04-04,0.0
302,2023-04-05,48.0
303,2023-04-06,0.0
304,2023-04-07,0.0
305,2023-04-08,0.0
306,2023-04-09,0.0
307,2023-04-10,0.0
308,2023-04-11,49.16
309,2023-04-12,0.0
310,2023-04-13,0.0
311,2023-04-14,0.0
312,2023-04-15,0.0
313,2023-04-16,0.0
314,2023-04-17,17.35
315,2023-04-18,26.26
316,2023-04-19,17.95
317,2023-04-20,53.17
318,2023-04-21,0.0
319,2023-04-22,0.0
320,2023-04-23,0.0
321,2023-04-24,0.0
322,2023-04-25,0.0
323,2023-04-26,53.18
324,2023-04-27,0.0
325,2023-04-28,0.0
326,2023-04-29,0.0
327,2023-04-30,0.0
328,2023-05-01,0.0
329,2023-05-02,47.9
330,2023-05-03,0.0
331,2023-05-04,0.0
332,2023-05-05,0.0
333,2023-05-06,0.0
334,2023-05-07,0.0
335,2023-05-08,47.33
336,2023-05-09,0.0
337,2023-05-10,0.0
338,2023-05-11,0.0
339,2023-05-12,0.0
340,2023-05-13,0.0
341,2023-05-14,0.0
342,2023-05-15,0.0
343,2023-05-16,0.0
344,2023-05-17,0.0
345,2023-05-18,0.0
346,2023-05-19,0.0
347,2023-05-20,0.0
348,2023-05-21,0.0
349,2023-05-22,0.0
350,2023-05-23,0.0
351,2023-05-24,25.98
352,2023-05-25,0.0
353,2023-05-26,28.57
354,2023-05-27,0.0
355,2023-05-28,0.0
356,2023-05-29,0.0
357,2023-05-30,45.13
358,2023-05-31,19.2
