Start date,Duration (min),Total Energy (kWh),Power,Temp,Plus,Day of Week,Month,Season,Período Escolar
2022-12-07,0.0,0.0,0.0,0.0,0.0,3,12,1,2
2022-12-08,0.0,0.0,0.0,0.0,0.0,4,12,1,2
2022-12-09,0.0,0.0,0.0,0.0,0.0,5,12,1,2
2022-12-10,0.0,0.0,0.0,0.0,0.0,6,12,1,2
2022-12-11,0.0,0.0,0.0,0.0,0.0,7,12,1,2
2022-12-12,0.0,0.0,0.0,0.0,0.0,1,12,1,2
2022-12-13,524.2339999999999,50.26,19.027558854395824,15.5,1.0499999999999998,2,12,1,2
2022-12-14,173.15,5.61,1.943979208778516,14.0,0.2,3,12,1,2
2022-12-15,0.0,0.0,0.0,0.0,0.0,4,12,1,2
2022-12-16,230.083,41.08,10.712655867665147,11.75,0.3,5,12,1,2
2022-12-17,0.0,0.0,0.0,0.0,0.0,6,12,1,2
2022-12-18,0.0,0.0,0.0,0.0,0.0,7,12,1,2
2022-12-19,45.5,44.59,58.800000000000004,15.0,0.3,1,12,1,2
2022-12-20,0.0,0.0,0.0,0.0,0.0,2,12,1,2
2022-12-21,275.133,49.82,10.864563683745681,15.75,0.15,3,12,1,2
2022-12-22,0.0,0.0,0.0,0.0,0.0,4,12,1,2
2022-12-23,0.0,0.0,0.0,0.0,0.0,5,12,1,2
2022-12-24,0.0,0.0,0.0,0.0,0.0,6,12,1,2
2022-12-25,0.0,0.0,0.0,0.0,0.0,7,12,1,2
2022-12-26,0.0,0.0,0.0,0.0,0.0,1,12,1,2
2022-12-27,264.917,63.55,57.77068985556706,13.5,0.06,2,12,1,2
2022-12-28,0.0,0.0,0.0,0.0,0.0,3,12,1,2
2022-12-29,0.0,0.0,0.0,0.0,0.0,4,12,1,2
2022-12-30,0.0,0.0,0.0,0.0,0.0,5,12,1,2
2022-12-31,0.0,0.0,0.0,0.0,0.0,6,12,1,2
2023-01-01,0.0,0.0,0.0,0.0,0.0,7,1,1,2
2023-01-02,0.0,0.0,0.0,0.0,0.0,1,1,1,2
2023-01-03,298.067,46.44,9.348233786363469,10.25,0.0,2,1,1,2
2023-01-04,202.55,14.62,4.330782522833868,11.25,0.1,3,1,1,2
2023-01-05,0.0,0.0,0.0,0.0,0.0,4,1,1,2
2023-01-06,28.767,24.12,50.3076441756179,11.0,0.0,5,1,1,2
2023-01-07,0.0,0.0,0.0,0.0,0.0,6,1,1,2
2023-01-08,0.0,0.0,0.0,0.0,0.0,7,1,1,2
2023-01-09,216.834,27.56,17.945633810635858,13.0,0.0,1,1,1,2
